date,broad_money
2015-12-01,21288.23904697781
2016-12-01,28083.90660917079
2017-12-01,28473.6632401824
2018-12-01,32739.618793410726
2019-12-01,34850.87601692363
2020-12-01,38904.92007717325
2021-12-01,44443.97474546617
2022-12-01,52187.27298742914
2023-12-01,79252.4591882025
2024-12-01,113355.07202364871
